country,name,full_name,isin,currency,symbol
brazil,JOAO FORTES ON,Joao Fortes Engenharia SA,BRJFENACNOR0,BRL,JFEN3
brazil,JHSF PART ON,JHSF Participacoes SA,BRJHSFACNOR2,BRL,JHSF3
brazil,JSL ON,JSL SA,BRJSLGACNOR2,BRL,JSLG3
brazil,KEPLER WEBER ON,Kepler Weber SA,BRKEPLACNOR1,BRL,KEPL3
brazil,KLABIN S/A PN,Klabin SA,BRKLBNACNPR9,BRL,KLBN4
brazil,LOJAS AMERIC ON,Lojas Americanas SA,BRLAMEACNOR9,BRL,LAME3
brazil,LOJAS AMERIC PN,Lojas Americanas SA,BRLAMEACNPR6,BRL,LAME4
brazil,METAL LEVE ON,Mahle-Metal Leve SA,BRLEVEACNOR2,BRL,LEVE3
brazil,LIGHT S/A ON,Light SA,BRLIGTACNOR2,BRL,LIGT3
brazil,LE LIS BLANC ON,LE LIS BLANC ON NM,BRLLISACNOR4,BRL,LLIS3
brazil,LOG-IN ON,Log-in Logistica Intermodal SA,BRLOGNACNOR3,BRL,LOGN3
brazil,LOPES BRASIL ON,LPS Brasil Consultoria de Imoveis,BRLPSBACNOR0,BRL,LPSB3
brazil,LOJAS RENNER ON,Lojas Renner SA,BRLRENACNOR1,BRL,LREN3
brazil,LUPATECH ON,Lupatech SA,BRLUPAACNOR8,BRL,LUPA3
brazil,M.DIASBRANCO ON,M Dias Branco SA,BRMDIAACNOR7,BRL,MDIA3
brazil,MANGELS INDL PN,Mangels Industrial SA,BRMGELACNPR3,BRL,MGEL4
brazil,MAGAZ LUIZA ON,Magazine Luiza SA,BRMGLUACNOR2,BRL,MGLU3
brazil,MILLS ON,MILLS ON EJ NM,BRMILSACNOR2,BRL,MILS3
brazil,MMX MINER ON,MMX Mineracao e Metalicos SA,BRMMXMACNOR2,BRL,MMXM3
brazil,ENEVA ON NM,Eneva SA,BRENEVACNOR8,BRL,ENEV3
brazil,MARFRIG ON,Marfrig Alimentos SA,BRMRFGACNOR0,BRL,MRFG3
brazil,MRV ON,MRV Engenharia e Participacoes SA,BRMRVEACNOR2,BRL,MRVE3
brazil,METAL IGUACU PN,Metalgrafica Iguacu SA,BRMTIGACNPR7,BRL,MTIG4
brazil,MULTIPLAN ON,Multiplan SA,BRMULTACNOR5,BRL,MULT3
brazil,IOCHP-MAXION ON,Iochpe-Maxion SA,BRMYPKACNOR7,BRL,MYPK3
brazil,NATURA ON,Natura Cosmeticos SA,BRNATUACNOR6,BRL,NATU3
brazil,ODONTOPREV ON,Odontoprev SA,BRODPVACNOR4,BRL,ODPV3
brazil,OSX BRASIL ON,OSX Brasil SA,BROSXBACNOR8,BRL,OSXB3
brazil,P.ACUCAR-CBD PN,Companhia Brasileira deDistribuicao,BRPCARACNPR0,BRL,PCAR4
brazil,PDG REALT ON,PDG Realty SA,BRPDGRACNOR8,BRL,PDGR3
brazil,PETROBRAS ON,Petroleo Brasileiro SA,BRPETRACNOR9,BRL,PETR3
brazil,PETROBRAS PN,Petroleo Brasileiro SA PN,BRPETRACNPR6,BRL,PETR4
brazil,PROFARMA ON,PROFARMA ON NM,BRPFRMACNOR1,BRL,PFRM3
brazil,PINE PN,Banco Pine SA,BRPINEACNPR8,BRL,PINE4
brazil,PLASCAR PART ON,Plascar Participacoes Industriais,BRPLASACNOR2,BRL,PLAS3
brazil,PARANAPANEMA ON,Paranapanema SA,BRPMAMACNOR3,BRL,PMAM3
brazil,MARCOPOLO ON,Marcopolo SA,BRPOMOACNOR0,BRL,POMO3
brazil,MARCOPOLO PN,Marcopolo SA,BRPOMOACNPR7,BRL,POMO4
brazil,POSITIVO INF ON,Positivo Informatica SA,BRPOSIACNOR9,BRL,POSI3
brazil,PORTO SEGURO ON,Porto Seguro SA,BRPSSAACNOR7,BRL,PSSA3
brazil,PORTOBELLO ON,Portobello SA,BRPTBLACNOR8,BRL,PTBL3
brazil,PETTENATI PN,Pettenati SA Industria Textil,BRPTNTACNPR3,BRL,PTNT4
brazil,Enauta ON,Enauta Participacoes SA,BRENATACNOR0,BRL,ENAT3
